"ISIN","AMC code","Scheme Name","AMC Name","AMC Image"
"INF109K012N5","P","ICICI PRUDENTIAL SHORT TERM FUND - DIRECT PLAN - FORTNIGHTLY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109KA1376","P","ICICI PRUDENTIAL SHORT TERM FUND - BONUS","ICICI Prudential Mutual Fund",""
"INF109K01EJ2","P","ICICI Prudential Savings Fund Retail Weekly Dividend","ICICI Prudential Mutual Fund",""
"INF109K01EI4","P","ICICI Prudential Savings Fund Retail Daily Dividend","ICICI Prudential Mutual Fund",""
"INF109K01753","P","ICICI PRUDENTIAL SAVINGS FUND - WEEKLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01JO1","P","ICICI Prudential Savings Fund - Weekly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01BX9","P","ICICI PRUDENTIAL SAVINGS FUND - RETAIL GROWTH","ICICI Prudential Mutual Fund",""
"INF109K01BW1","P","ICICI PRUDENTIAL SAVINGS FUND - RETAIL DAILY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109K015Z2","P","ICICI PRUDENTIAL SAVINGS FUND - QUARTERLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K016Z0","P","ICICI Prudential Savings Fund - Quarterly IDCW","ICICI Prudential Mutual Fund",""
"INF109K013Z7","P","ICICI PRUDENTIAL SAVINGS FUND - MONTHLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K014Z5","P","ICICI Prudential Savings Fund - Monthly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01WN6","P","ICICI PRUDENTIAL SAVINGS FUND - IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01WO4","P","ICICI Prudential Savings Fund - IDCW Others","ICICI Prudential Mutual Fund",""
"INF109K01746","P","ICICI PRUDENTIAL SAVINGS FUND - GROWTH","ICICI Prudential Mutual Fund",""
"INF109K011Z1","P","ICICI PRUDENTIAL SAVINGS FUND - FORTNIGHTLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K012Z9","P","ICICI Prudential Savings Fund - Fortnightly IDCW","ICICI Prudential Mutual Fund",""
