name
"Irinjalakuda Town Co-Operative Bank Ltd","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"Irinjalakuda Town Co-Operative Bank Ltd",1
"JAMMU AND KASHMIR BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JAMMU AND KASHMIR BANK LIMITED",1
"JANASEVA SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANASEVA SAHAKARI BANK LIMITED",1
"JANASEVA SAHAKARI BANK BORIVLI LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANASEVA SAHAKARI BANK BORIVLI LIMITED",1
"JIO PAYMENTS BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JIO PAYMENTS BANK LIMITED",1
"JALGAON JANATA SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JALGAON JANATA SAHAKARI BANK LIMITED",1
"THE JALGAON PEOPELS COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE JALGAON PEOPELS COOPERATIVE BANK LIMITED",1
"JANAKALYAN SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANAKALYAN SAHAKARI BANK LIMITED",1
"JANATA SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANATA SAHAKARI BANK LIMITED",1
"JANA SMALL FINANCE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANA SMALL FINANCE BANK LTD",1
"JANATHA SEVA COOPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JANATHA SEVA COOPERATIVE BANK LTD",1
"THE KANGRA CENTRAL COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE KANGRA CENTRAL COOPERATIVE BANK LIMITED",1
"KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED",1
"THE KANGRA COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE KANGRA COOPERATIVE BANK LIMITED",1
"KARNATAKA BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KARNATAKA BANK LIMITED",1
"KOOKMIN BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KOOKMIN BANK",1
